X0 Y0 helicalID MicrographName ShiftX ShiftY AngleRot AngleTilt AnglePsi
497.341475 1884.052928 4 MotionCorr/job008/Movies/hole4/k40r_cflat_00012_4-1.mrc -0.68591 0.794338 123.998443 88.711145 62.198391
554.696756 1774.473532 4 MotionCorr/job008/Movies/hole4/k40r_cflat_00012_4-1.mrc -1.37891 0.487338 124.086215 88.487221 61.963987
554.052037 1774.894137 4 MotionCorr/job008/Movies/hole4/k40r_cflat_00012_4-1.mrc -1.37891 0.487338 124.086215 88.487221 61.963987
612.407317 1664.314742 4 MotionCorr/job008/Movies/hole4/k40r_cflat_00012_4-1.mrc -1.20566 0.140838 123.998284 88.412638 61.964020
612.762598 1664.735346 4 MotionCorr/job008/Movies/hole4/k40r_cflat_00012_4-1.mrc -1.20566 0.140838 123.998284 88.412638 61.964020
1047.383327 845.320910 5 MotionCorr/job008/Movies/hole4/k40r_cflat_00012_4-1.mrc -0.68591 0.314088 123.470776 88.114369 61.026712
1047.517501 845.184005 5 MotionCorr/job008/Movies/hole4/k40r_cflat_00012_4-1.mrc -0.68591 0.314088 123.470776 88.114369 61.143900
1076.651676 791.047100 5 MotionCorr/job008/Movies/hole4/k40r_cflat_00012_4-1.mrc -1.03241 0.314088 123.470776 88.114369 60.909525
1106.785850 737.910196 5 MotionCorr/job008/Movies/hole4/k40r_cflat_00012_4-1.mrc -0.85916 0.487338 123.382844 88.039771 60.792369
1136.920025 683.773291 5 MotionCorr/job008/Movies/hole4/k40r_cflat_00012_4-1.mrc -0.68591 0.487338 123.382844 88.039771 60.675182
1166.054199 629.636386 5 MotionCorr/job008/Movies/hole4/k40r_cflat_00012_4-1.mrc -0.51266 0.487338 123.470696 87.965075 60.557965
1226.188374 521.499481 5 MotionCorr/job008/Movies/hole4/k40r_cflat_00012_4-1.mrc -0.68591 0.140838 123.470616 87.815768 60.206405
1256.322548 467.362576 5 MotionCorr/job008/Movies/hole4/k40r_cflat_00012_4-1.mrc -1.03241 -0.03241 123.470616 87.815768 60.089218
1287.456722 414.225671 5 MotionCorr/job008/Movies/hole4/k40r_cflat_00012_4-1.mrc -0.68591 0.314088 123.558468 87.741062 59.737626
1317.590897 361.088766 5 MotionCorr/job008/Movies/hole4/k40r_cflat_00012_4-1.mrc -1.20566 0.621088 123.558388 87.591733 59.620441
1317.725071 361.951861 5 MotionCorr/job008/Movies/hole4/k40r_cflat_00012_4-1.mrc -1.20566 0.621088 123.558388 87.591733 59.620441
4861.039293 3152.739953 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00014_4-3.mrc -0.85916 0.140838 123.296750 91.397507 63.136141
4861.068281 3152.927695 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00014_4-3.mrc -0.85916 0.140838 123.208820 91.322929 63.136171
4889.097269 3097.115437 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00014_4-3.mrc -0.68591 0.621088 123.296750 91.397507 63.253329
4944.126257 2985.303179 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00014_4-3.mrc -0.85916 0.314088 123.208660 91.024448 63.253355
4944.155245 2985.490921 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00014_4-3.mrc -0.85916 0.314088 123.296590 91.099018 63.253325
4971.184233 2930.678663 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00014_4-3.mrc -1.20566 0.794338 123.208580 90.875219 63.370542
5026.213221 2818.866405 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00014_4-3.mrc -0.85916 0.487338 123.208580 90.875219 63.604917
5026.242210 2818.054146 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00014_4-3.mrc -0.85916 0.314088 123.120650 90.800654 63.604947
5053.271198 2762.241888 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00014_4-3.mrc -1.03241 0.140838 123.120570 90.651433 63.722133
5107.300186 2651.429630 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00014_4-3.mrc -0.85916 0.621088 123.032480 90.278447 64.073725
4080.724701 3783.539848 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc -0.03241 0.621088 130.064447 91.767200 144.813250
4030.405280 3748.033621 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.621088 0.967588 129.888595 91.618012 145.164882
3979.085859 3713.527394 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.621088 1.140838 130.328079 91.692432 145.399077
3928.766437 3679.021167 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.487338 1.621088 130.503858 91.692347 145.633379
3877.447016 3644.514940 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.794338 1.140838 130.679637 91.692261 145.867681
3774.127595 3577.008713 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.487338 1.314088 130.239059 89.379488 146.922540
3774.808174 3577.502487 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 4.140838 0.967588 131.204455 86.467286 148.445625
3722.488753 3543.996260 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.314088 0.794338 129.537184 91.916746 146.922843
3671.169332 3509.490033 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc -0.68591 1.487338 129.367363 103.685077 147.626852
3619.849910 3476.983806 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc -0.03241 0.621088 128.745918 91.394686 147.743467
3567.530489 3444.477579 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.487338 1.140838 129.184515 89.678432 147.743283
3514.211068 3410.971352 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc -0.68591 -0.37891 129.273923 92.738218 147.743279
3462.891647 3377.465125 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.314088 -0.20566 128.394209 91.096373 148.095167
3410.572226 3346.958898 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.967588 1.487338 128.481089 89.081917 147.860755
3357.252805 3314.452671 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.487338 1.487338 128.569018 89.156485 147.977907
3305.933383 3282.946444 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.314088 0.621088 128.568569 88.261010 148.446667
3252.613962 3250.440217 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.314088 0.967588 128.744725 89.007171 148.563776
3199.294541 3218.933990 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.140838 0.794338 128.569018 89.156485 148.798220
3146.975120 3187.427764 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.314088 1.140838 128.568868 88.858027 149.032597
3084.655699 3150.921537 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 2.967588 1.487338 127.865760 139.387791 149.048422
3041.336278 3124.415310 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.621088 0.794338 128.392786 88.261098 149.384237
2988.016856 3093.909083 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.967588 0.794338 128.305007 88.485042 149.384269
2988.697435 3093.402856 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.967588 0.967588 128.305082 88.634295 149.149892
2934.378014 3062.896629 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.487338 1.140838 128.217303 88.858203 149.501487
2881.058593 3031.390402 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.967588 1.314088 128.305382 89.231228 149.501449
2827.739172 3000.884175 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.621088 1.140838 128.305307 89.082005 149.618638
2773.419751 2969.377948 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.487338 0.967588 128.129524 89.082094 149.853082
2720.100329 2938.871721 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.794338 0.621088 128.129524 89.082094 149.970270
2613.780908 2878.365494 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.487338 0.314088 127.514173 88.858559 150.790826
2559.461487 2849.859267 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.621088 0.794338 127.778035 89.231494 151.142282
